SystemPath,SystemName,SystemType,Equipment Type,Equipment ID,Manufacturer,Serial Number,National Board Number,Model Number,Year Built,Name Plate,U-1 Form,PSM Covered,Code Stamp,PID Drawing,PFD,PID Number,PFD Number,Shutdown Level,Criticality,Equipment Description,Code,CML Locations.CML,CML Locations.CML Location,CML Locations.Component Type,CML Locations.Component,CML Locations.Outside Diameter,CML Locations.Nominal Thickness,CML Locations.Corrosion Allowance,CML Locations.T-min,CML Locations.Material Spec,CML Locations.Material Grade,CML Locations.CML Pressure,CML Locations.CML Temperature,CML Locations.CML Joint Efficiency,CML Locations.CML Access,CML Locations.Insulation,CML Locations.CML Installed On,CML Locations.CML Status,CML Locations.NDE Type
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),3.04,South,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),4.02,East,Piping,Tee,4.5,0.337,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),4.03,Bottom,Piping,Tee,4.5,0.337,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),4.04,West,Piping,Tee,4.5,0.337,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),1.01,Inside Radius,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),1.02,Outside Radius,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),1.03,Bottom,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),2.01,Top,Piping,Tee,3.5,0.3,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),2.04,South,Piping,Tee,3.5,0.3,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),3.01,Top,Piping,Straight Pipe,3.5,0.216,0,,A106,B,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),3.02,North,Piping,Straight Pipe,3.5,0.216,0,,A106,B,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),3.04,South,Piping,Straight Pipe,3.5,0.216,0,,A106,B,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),4.01,Top,Piping,Tee,3.5,0.3,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),4.04,South,Piping,Tee,3.5,0.3,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),5.01,Top,Piping,Straight Pipe,3.5,0.216,0,,A106,B,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),5.02,East,Piping,Straight Pipe,3.5,0.216,0,,A106,B,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),6.01,Outside Radius,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),6.02,North,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-034,COND-034,Process Piping,,COND-034,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1803/1805,,,,TK-3020A/B/C TO P-3025,2014 B31.3 (Carbon Steel),6.03,South,Piping,Elbow,3.5,0.216,0,,A234,WPB,10,10,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),1.01,Inside Radius,Piping,Elbow,12.75,0.688,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),1.02,Outside Radius,Piping,Elbow,12.75,0.688,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),1.03,East,Piping,Elbow,12.75,0.688,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),2.01,Top,Piping,Straight Pipe,12.75,0.688,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),2.02,North,Piping,Straight Pipe,12.75,0.688,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),2.03,Bottom,Piping,Straight Pipe,12.75,0.688,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),2.04,South,Piping,Straight Pipe,12.75,0.688,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),3.02,East,Piping,Tee,6.625,0.562,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),3.03,South,Piping,Tee,6.625,0.562,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),3.04,West,Piping,Tee,6.625,0.562,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),4.01,North,Piping,Reducer,3.5,0.3,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),4.02,East,Piping,Reducer,3.5,0.3,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),4.03,South,Piping,Reducer,3.5,0.3,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-001,CRYO-001,Process Piping,,CRYO-001,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1015,,,,"TCV-402C, PSV-402 TO E-203, V-402",2014 B31.3 (Carbon Steel),4.04,West,Piping,Reducer,3.5,0.3,0,,A234,WPB,1100,150,1.0,Platform,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),1.01,Inside Radius,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),1.02,Outside Radius,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),1.03,North,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),2.01,Top,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),2.02,North,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),2.03,Bottom,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),2.04,South,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),3.01,Inside Radius,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),3.02,Outside Radius,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),3.03,South,Piping,Elbow,10.75,0.594,0,,A234,WPB,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),4.01,Top,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),4.02,North,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),4.03,Bottom,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > CRYO-002,CRYO-002,Process Piping,,CRYO-002,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1012/1018/1013,,,,"E-201, E-205 TO E-203",2014 B31.3 (Carbon Steel),4.04,South,Piping,Straight Pipe,10.75,0.594,0,,A106,B,1100,150,1.0,Ground,Yes,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),1.01,Inside Radius,Piping,Elbow,3.5,0.3,0,,A234,WPB,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),1.02,Outside Radius,Piping,Elbow,3.5,0.3,0,,A234,WPB,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),1.03,West,Piping,Elbow,3.5,0.3,0,,A234,WPB,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),2.01,Top,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),2.02,East,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),2.03,Bottom,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),2.04,West,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),3.01,Top,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),3.02,North,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),3.03,Bottom,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),3.04,South,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),4.01,North,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),4.02,East,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > INLET-003,INLET-003,Process Piping,,INLET-003,,,,,2025,,,Yes,,Yes,No,K1GP-PID-1000,,,,SC-1000 LEVEL GAUGES,2014 B31.3 (Carbon Steel),4.03,South,Piping,Straight Pipe,3.5,0.3,0,,A106,B,1440,120,1.0,Man Lift,No,01/01/2025,Active,UT
